Links,Title,Description,Tags
https://analytics.tinyspeck.com/v3/dashboard/1000000001117708#usage_chart,Search Answers Dashboard,,"ats, ai, answers, dashboard, search"
https://analytics.tinyspeck.com/v3/dashboard/1000000001502535,Search and Slack AI Incident KPIs and Metrics,,"incident, ats, metrics, incidents, search, star"
https://analytics.tinyspeck.com/v3/dashboard/1000000001582202,Frontend Code Health Overview,,"ats, frontend, health"
https://analytics.tinyspeck.com/v3/dashboard/1000000001622308?team_selector=WHERE+TRUE,Search Query Success Breakdown,,"analytics, ats, qsr, search"
https://analytics.tinyspeck.com/v3/dashboard/254968641604,Search Statistics,,"analytics, ats, search, statistics, stats"
https://analytics.tinyspeck.com/v3/dashboard/994893157734,DocJoin counters,,"backend, docjoin, ats, search, infra"
https://analytics.tinyspeck.com/v3/experiment-metric/1000000001587991?tab=overview,Core Search User Metrics,,"usage, ats, search"
https://analytics.tinyspeck.com/v3/explore/1000000001765020,Active Houston Search toggles ,List of toggles currently reporting to Sam Messing or Austin Bell,"houston, ats, active, toggles, search"
https://docs.google.com/presentation/d/1N0wYtQxSHlH1hNnqPAfGJxaxz-CsO6PgJi3ZozXZEVs/edit?slide=id.g11cf1539106_0_9#slide=id.g11cf1539106_0_9,Autocomplete At Slack,,"autocomplete, presentation, slides, deck"
https://docs.google.com/presentation/d/1p4Ge7ONQBLoSxGiFRTFWmpDspxEJV92HhldMuMIQ6gU/edit?slide=id.g37228f3e96c_1_102#slide=id.g37228f3e96c_1_102,Search In-Product Survey Analysis FY26Q3,,"survey, presentation, slides, deck, search"
https://docs.google.com/spreadsheets/d/1m68MVh7PgQdlVm3rWeE_WpOOrZHl0shJKJYiG1AkqS4/edit?gid=668205781#gid=668205781,Search Related Incidents,List of all search-related incidents,"incident, incidents, sheets, search, star"
https://docs.google.com/spreadsheets/d/1ShjbRzIMRtF8QXK-nsDD6mRcO49Kqi6WLxtemwjrFjc/edit?gid=0#gid=0,Query Terms by Plan Type,Post PnP,"sheets, query, pnp, plans, terms, search"
https://docs.google.com/spreadsheets/d/1Yjav5QVDoMBC0mB9QPpPFnSKyyANl5NgUHgPNnENn2M/edit?pli=1&gid=1263281898#gid=1263281898,Aggregated Query + Subquery Export,Most common queries (5/2025),"sheets, query, common, queries, search"
https://docs.google.com/spreadsheets/d/1ZTV5xT1B73THOHU2AQlJ8lAcKBz6zeVHjYcOJMsxsa4/edit?gid=0#gid=0,Search APIs,,"sheets, api, search, apis"
https://grafana.tinyspeck.com/d/2k0SOOcMk/global-health-overview-2-0-is-slack-up?orgId=1,Global Health Overview 2.0 - Is Slack Up,,"grafana, uptime, slack, global, overview"
https://grafana.tinyspeck.com/d/eed78f8d-b937-471b-81c7-67aa27b474bb/search-be-graphs?orgId=1&refresh=1m,Search BE Graphs,,"backend, runbook, grafana, be, backend, search, graphs"
https://grafana.tinyspeck.com/d/solrcloud-webapp-viz/solrcloud-webapp?orgId=1,Solrcloud Webapp,,"grafana, solr, solrcloud, webapp"
https://grafana.tinyspeck.com/d/solrjproxy_viz/solrjproxy?orgId=1&from=1751384307675&to=1751400210522&viewPanel=34,SolrJProxy Deployment Replicas Unavailable,,"grafana, solr, solrjproxy, replicas"
https://grafana.tinyspeck.com/d/zookeeper_viz/zookeeper?orgId=1&var-region=us-east-1&var-cluster=All&from=now-6h&to=now,Zookeeper dashboard,,"grafana, zookeeper, dashboard, runbook"
https://grafana.tinyspeck.com/d/ZXm1SJaWz/api-endpoint-dashboard?orgId=1&var-endpoint=search.modules.messages,API Endpoint Dashboard,,"backend, runbook, grafana, api, endpoint"
https://houston.tinyspeck.com/experiments/launch-schedule/toggle-rollouts,Recent Houston toggle rollouts,,"houston, runbook, toggle, toggles, rollouts, recent, experiments"
https://houston.tinyspeck.com/experiments/toggle-audit?q=&sortOption=date_update&sortOrder=asc&selectedDateRange=month&viewMode=all&omniTeamIds=e09999c3-136e-41c5-a6c5-cdda203c60ec&omniTeamIds=e2aab396-7f23-4f12-8d1a-a9263998d751&omniTeamIds=f96ea035-6405-4351-9539-56a89739dea9&omniTeamIds=03b4ea78-222a-4c87-8efd-09aba182fb06,All Search-related experiments,All search-related experiments in Houston,"houston, search, experiments, rollouts, toggles"
https://mc.tinyspeck.com/mc/query_intent.php,Search for a Query,,"mc, query, search"
https://mc.tinyspeck.com/mc/solrcloud.php,PROD SolrCloud Panopticon,,"prod, solr, mc, panopticon, search"
https://omni.tinyspeck.com/teams/e09999c3-136e-41c5-a6c5-cdda203c60ec,Core Search SOCS,Omni team page for Core Search,"omni, search, socs"
https://salesforce.enterprise.slack.com/docs/T024BE7LD/F08AWRTJE1Z,Search Logging & Metrics Pipeline Documentation,,"documentation, logging, canvas, pipeline, search"
https://slack.pagerduty.com/schedules-new/P9DVX60,Enterprise Search BE Rotation,PagerDuty schedule for Enterprise BE,"pagerduty, schedule, rotation, enterprise, search"
https://slack.pagerduty.com/schedules/PLIBFJR,Search + AI Mobile [Android],PagerDuty schedule for Search & AI: Android,"pagerduty, schedule, rotation, android, search"
https://slack.pagerduty.com/schedules/PLR5W1U,AI Search BE,PagerDuty schedule for AI Search BE,"pagerduty, schedule, rotation, ai, search"
https://slack.pagerduty.com/schedules/PPVW8U6,Search + AI Mobile [iOS],PagerDuty schedule for Search & AI: iOS,"pagerduty, schedule, rotation, ios, search"
https://slack.pagerduty.com/schedules/PQW40RE,Slack AI BE,PagerDuty schedule for Slack AI BE,"pagerduty, schedule, rotation, ai, search"
https://slack.pagerduty.com/schedules/PR6GFVN,Native Search BE,PagerDuty schedule for Native Search BE,"pagerduty, schedule, rotation, search, star"
https://slack.pagerduty.com/schedules/PT5SQ9L,Search Pillar FE On Call (escal only),PagerDuty schedule for Search FE,"pagerduty, schedule, rotation, frontend, search, star"
https://tableau.tinyspeck.com/#/views/SearchTop-LevelMetrics/Dashboard2?:iid=1,Search Top-Level Metrics Dashboard,,"mgmt, usage, analytics, tableau"
https://ui.honeycomb.io/slack/datasets/traces_prod/result/r42oKbq3cBJ,Searcher Usage,,"mgmt, usage, frontend, searcher, honeycomb, fe"
https://docs.google.com/spreadsheets/d/1TyeySQKIztUOQS42IcJimJ6CjFfWYeeUGG0Yv9nqQUY/edit?gid=0#gid=0,Parag's Search Staff List,,"mgmt, search, be, backend, team, sheets, staff"
https://tableau.tinyspeck.com/#/views/BEM_17340302159370/AdvancedDashboard?:iid=1,Engineering Coding Stats (tableau),,"mgmt, coding, stats, tableau, engineering"
https://salesforce.enterprise.slack.com/docs/T024BE7LD/F08AR956PKJ,Engineering Metrics Definitions,,"mgmt, coding, stats, canvas, definitions, metrics, engineering"
https://analytics.tinyspeck.com/v3/explore/1000000001759486,Comments per PR stats,,"mgmt, coding, stats, ats, PR, comments"
https://docs.google.com/spreadsheets/d/17VTfyEtaIx-tqVG24rs8HIwcVPqx4a17OXR7W-XP6qg/edit?gid=1048000598#gid=1048000598,SAIL Coding Stats FY26,,"mgmt, coding, stats, fy26, sheets, sail"
https://docs.google.com/spreadsheets/d/1WkOJRChjLchvR2o_mRDiEx5x7WBB5darDIQqxE2HhEs/edit?gid=1212461420#gid=1212461420,Search & AI Quarterly Calibration FY26,,"mgmt, sheets, fy26, calibration, search, ai, quarterly"
https://docs.google.com/spreadsheets/d/11Y8b07bI95sYPjH4wwaHgy3MDvvn4ZSP0NJVBhig2Bo/edit?gid=281506984#gid=281506984,Search & AI Mid-Quarter Talent Review,,"mgmt, sheets, search, ai, talent, review"
https://salesforce.enterprise.slack.com/docs/T024BE7LD/F09DXAWFNDV,Overview: Search and AI Eng Performance Calibrations,,"mgmt, search, ai, performance, calibrations"
https://docs.google.com/document/d/1lUpa7BoXxWCN1hgXe7kTYrL5vDDJ5q9YkEV3fOAQtc8/edit?tab=t.0#heading=h.rvebpn87o572,Brief Alignment on IC Levels,,"mgmt, docs, leveling, ic, career"
https://docs.google.com/spreadsheets/d/1v_dcA2sgE3vlZZXlH7RAaIjcNISuaBjB2FPQCcE2gjQ/edit?gid=0#gid=0,"Slack Engineering Career Path, v5",,"mgmt, sheets, leveling, slack, engineering, career"
https://docs.google.com/document/d/1P-IIwNYgIy715I3qaws0KEOipnvd27_6i7tYdyjN7C0/edit?tab=t.0,Slack Software Engineering Career Path v6,,"mgmt, docs, career, path, engineering, career"
https://docs.google.com/document/d/1Woh0KkSTI_BqRsUzmzhabaPigXXazRvFOufNQFng__4/edit?usp=drive_link,Search - Quarterly Checkins,,"mgmt, docs, search, checkin, checkins, quarterly"
https://docs.google.com/document/d/1Xa9RWmKLsyYrW78HPvXCycoLf5ICFdncQvgkLjveHAE/edit?tab=t.0#heading=h.14gydd82vgxl,TEMPLATE - Quarterly Check-in,Sam's template for quarterly checkins,"mgmt, docs, search, checkin, checkins, quarterly, template"
https://salesforce.enterprise.slack.com/docs/T024BE7LD/F08DSEA2R6V,FY26 Quarterly Check-In Guide,,"mgmt, canvas, fy26, checkin, checkins, guide, quarterly"
https://docs.google.com/presentation/d/1YPbUFwuNtB0OQliPg5ks4O3jWV313CnY81dAqaZiqNc/edit?slide=id.g3665bf721cc_0_5320#slide=id.g3665bf721cc_0_5320,Slack Org FY27 H1 Promotion Nominations & EOY,,"mgmt, deck, slides, promo, nominations, fy27"
https://docs.google.com/presentation/d/1Uwpp9pjLiH5qLMxKmJd9xVDLY4GTT-d8qT8_vxScVVA/edit?slide=id.g39bc79998a4_55_8131#slide=id.g39bc79998a4_55_8131,FY27 H1 Promotions Leader Guide,,"mgmt, deck, slides, promo, fy27, leader, guide"
https://slack-pde.slack.com/archives/C8ESX18AE/p1761844401341539,FY27 H1 Promotions Begin November 3,,"mgmt, canvas, promo, promotions, fy27"
https://confluence.internal.salesforce.com/spaces/ECR/pages/749081379/Engineering+Manager+Leveling+Guide,Engineering Manager Leveling Guide,,"mgmt, salesforce, sfdc, leveling, guide, engineering"
https://docs.google.com/spreadsheets/d/1NYkLYFm1ZElbvhTdtXnGRseTBDpC-p54dQdRS8YURUU/edit?gid=1328826684#gid=1328826684,SAIL team roster [FY26Q3 Planning],,"mgmt, sheets, team, roster, fy26, planning"
